sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
1451,Amritsarairport Junction - Ramdas from km. 100.835 to km. 139.813 Pkg - IV,NHAI,618794,Punjab,2020-12-01,2022-03-01,2023-09-01,2026-09-01,524.88,416.58,395.48,96.0,133,July 2026,FlashReport_July_2026.pdf
1452,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,NHAI,618795,Punjab,2021-02-01,2022-08-01,2024-08-01,2026-12-01,1474.77,1228.42,1222.67,82.88,133,July 2026,FlashReport_July_2026.pdf
1453,4L of Beas-Mehta-Batala-Dera Baba Nanak from intersection with Jalandhar-Amritsar Highway NH-3 near Beas till start of Batala Bypass near Village Acchhal from Km. 0.000 to Km. 31.300 Pkg-1,NHAI,618809,Punjab,2021-08-01,2023-06-01,2025-06-01,2027-05-01,809.51,966.99,670.85,68.2,133,July 2026,FlashReport_July_2026.pdf
1454,4L of existing Beas Baba Bakala - Dera Baba Nanak Section from start of Batala Bypass till intersection with Ajnala Gurdaspur Highway NH 354 near Dera Baba Nanak from Km. 31.300 to Km. 69.100 with Additional batala Bypass Pkg-II,NHAI,618810,Punjab,2021-10-01,2023-06-01,2025-06-01,2027-03-01,1003.38,993.6,800.86,80.9,133,July 2026,FlashReport_July_2026.pdf
1455,4L of Amritsar-Ghoman - Tanda - Una Section from Km 8.270 to Km 54.000 of NH- 503A Package-I,NHAI,618906,Punjab,2020-12-01,2022-06-01,2024-06-01,2027-03-01,857.91,1443.47,772.91,68.9,133,July 2026,FlashReport_July_2026.pdf
1456,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,NHAI,619099,Punjab,2021-03-01,2024-06-01,2026-06-01,2027-06-01,1801.37,2172.71,1268.39,66.53,133,July 2026,FlashReport_July_2026.pdf
1457,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga- Barnala Road NH-703 near village Tallewal to Jn. with Delhi-Katra Expressway NE-5 near Ludhiana village Ballowal from Km 30.300 to Km 75.543 of NH-754AD Pkg-2,NHAI,619105,Punjab,2021-07-01,2025-09-01,2027-09-01,2027-09-01,1555.13,1564.66,711.39,25.55,133,July 2026,FlashReport_July_2026.pdf
1458,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],NHAI,619200,Punjab,2021-03-01,2022-11-01,2024-10-01,2027-10-01,1641.75,1951.7,1364.2,33.85,133,July 2026,FlashReport_July_2026.pdf
1459,4/6L Greenfield Ludhiana Rupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km. 0.00 to Km. 37.7 including spur to Kharar with Ludhiana bypass of NH-205K Pkg-1,NHAI,619318,Punjab,2021-05-01,2022-12-01,2024-12-01,2027-12-01,1368.91,1382.48,533.33,15.31,134,July 2026,FlashReport_July_2026.pdf
1460,Widening of Pachpadra-Bagundi Section to 4 Lane from Km 73/60 to 95/70 of NH-25 on EPC mode in the state of Rajasthan.,MoRTH,617901,Rajasthan,2022-01-01,2022-12-01,2024-12-01,2026-07-01,194.88,194.88,55.29,98.58,134,July 2026,FlashReport_July_2026.pdf
1461,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in the state of Rajasthan on EPC Mode,MoRTH,618011,Rajasthan,2021-12-01,2022-05-01,2024-05-01,2026-10-01,411.44,411.44,85.69,92.77,134,July 2026,FlashReport_July_2026.pdf
1462,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,MoRTH,618069,Rajasthan,2022-03-01,2024-10-01,2026-10-01,2026-10-01,334.64,334.64,0.0,72.0,134,July 2026,FlashReport_July_2026.pdf
1463,Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.,MoRTH,618092,Rajasthan,2023-02-01,2024-10-01,2026-10-01,2026-10-01,606.61,606.61,304.62,63.52,134,July 2026,FlashReport_July_2026.pdf
1464,Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.,MoRTH,618117,Rajasthan,2024-02-01,2024-11-01,2026-05-01,2026-08-01,154.89,154.89,15.13,23.0,134,July 2026,FlashReport_July_2026.pdf
1465,Construction of 2 lane with Paved Shoulder for Northern Bypass Phase-II of Kota city in the State of Rajasthan.,MoRTH,618200,Rajasthan,2022-03-01,2023-10-01,2025-04-01,2026-11-01,317.74,317.74,6.14,50.33,134,July 2026,FlashReport_July_2026.pdf
1466,Balance work of Rehabilitation and Up-gradation to 4-Lane configuration of Ras- Beawar Section Km 00.000 to km 30.050 of NH-158 in the State of Rajasthan under Green National Highway Corridor Project GNHCP.,MoRTH,618235,Rajasthan,2025-01-01,2025-06-01,2026-12-01,2026-12-01,278.1,278.1,99.13,56.2,134,July 2026,FlashReport_July_2026.pdf
1467,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-10 Ch. 292.950 to Ch. 319.400 [End of Interchange on NH-166 near village Mui to Hardeoganj village near Indergarh],NHAI,618457,Rajasthan,2019-11-01,2021-05-01,2023-05-01,2026-09-01,1272.97,1265.16,1150.13,95.25,134,July 2026,FlashReport_July_2026.pdf
1468,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-15 Ch. 419.000 to Ch.427.300 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village],NHAI,618458,Rajasthan,2020-07-01,2021-07-01,2024-01-01,2026-08-01,1854.68,1854.68,1530.92,98.28,134,July 2026,FlashReport_July_2026.pdf
1469,Sangariya near Chautala-Rasisar near Bikaner section of NH-754K Phase-I AJ/SR- Package-7,NHAI,618611,Rajasthan,2019-02-01,2021-06-01,2023-06-01,2026-08-01,520.63,548.42,450.59,100.0,134,July 2026,FlashReport_July_2026.pdf
1470,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-6,NHAI,618612,Rajasthan,2019-10-01,2021-08-01,2023-08-01,2026-08-01,846.59,740.62,705.48,100.0,134,July 2026,FlashReport_July_2026.pdf
1471,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-7,NHAI,618613,Rajasthan,2019-10-01,2021-07-01,2023-07-01,2026-08-01,662.08,597.77,561.75,99.2,134,July 2026,FlashReport_July_2026.pdf
1472,6L access controlled Highway from Km 40080 to Km 86513 Mator to Barodameo Section,NHAI,618757,Rajasthan,2022-09-01,2024-03-01,2026-03-01,2027-06-01,2010.2,1565.88,708.28,37.27,134,July 2026,FlashReport_July_2026.pdf
1473,6L accesscontrolled highway from km 0000 to km 40080 Paniyala to Mator Section of Paniyala-Barodameo ICR,NHAI,618758,Rajasthan,2022-09-01,2024-09-01,2026-09-01,2026-08-01,1764.86,1239.24,571.41,42.75,134,July 2026,FlashReport_July_2026.pdf
1474,Tanot -Ramgarh-Bhadasar-Jaisalmer NH-68 and BhadasarMokal-Sarkaritala up to Pakisthan Border NH-968 Pkg-BM/5,NHAI,618796,Rajasthan,2018-02-01,2019-04-01,2021-04-01,2026-08-01,828.58,830.37,755.88,100.0,134,July 2026,FlashReport_July_2026.pdf
1475,"Widening Strengthening of 2-Lane with Paved Shoulder from MyajlarJaisalmer from Design Chainage 0000 to 98350 Section of NH-11 & SundraMyajlarAmbasingh ki Dhani Road from Design Chainage 46000 to 81601, part of MunabaoTanot Road Section of NH-70 along with Strengthening/Widening of Existing Connection of NH-70 & NH-11 of length 0.914 km in the State of Rajasthan under NHO on Hybrid Annuity Mode",NHAI,618797,Rajasthan,2025-03-01,2025-12-01,2027-12-01,2027-12-01,1237.71,927.02,94.08,21.22,135,July 2026,FlashReport_July_2026.pdf
1476,4L of Karwar Km. 281.980 of NH-62 Nagaur road to Dangiyavas of Jodhpur Ring Road Pkg-II,NHAI,618838,Rajasthan,2021-11-01,2022-08-01,2024-08-01,2026-08-01,736.75,512.77,463.98,100.0,135,July 2026,FlashReport_July_2026.pdf
1477,Construction of Four lane Elevated Structure at Raniwada Circle in Sanchore City on NH-68,NHAI,618853,Rajasthan,2024-01-01,2024-07-01,2026-07-01,2026-11-01,353.3,241.34,192.88,89.37,135,July 2026,FlashReport_July_2026.pdf
1478,Construction of two lane with paved shoulder of Ghatol Bypass from km 133.250 to km 140.950 of NH-56 old NH No. 113 on EPC mode in the State of Rajasthan.,MoRTH,619251,Rajasthan,2025-03-01,2026-03-01,2027-09-01,,170.49,170.49,0.0,17.0,135,July 2026,FlashReport_July_2026.pdf
1479,"Upgradation of 6 laned Jaipur- Kishangarh section of NH-48 from km 274100 to 363885 involving construction of flyovers and Service road in Rajasthan On Engineering, Procurement & Construction EPC Mode",NHAI,619270,Rajasthan,2026-03-01,2026-08-01,2029-01-01,2028-08-01,910.91,910.91,0.0,0.0,135,July 2026,FlashReport_July_2026.pdf
1480,Construction of Elevated Corridor at Kherwara Town on Udaipur Ratanpur Shamlaji Section of NH-48 in Udaipur District in the State of Rajasthan on EPC mode,NHAI,619271,Rajasthan,2026-03-01,2026-07-01,2029-01-01,2029-01-01,363.89,363.89,0.38,0.0,135,July 2026,FlashReport_July_2026.pdf
1481,Construction of two lane with paved shoulder Gangtok Bypass Road from Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim,MoRTH,618071,Sikkim,2021-10-01,2022-05-01,2024-05-01,2026-12-01,385.15,342.89,203.36,92.0,135,July 2026,FlashReport_July_2026.pdf
1482,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,NHIDCL,618426,Sikkim,2018-03-01,2023-01-01,2024-07-01,2026-12-01,264.84,380.94,127.34,87.03,135,July 2026,FlashReport_July_2026.pdf
1483,Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work,NHIDCL,618428,Sikkim,2021-01-01,2021-04-01,2023-04-01,2026-05-01,264.84,380.94,70.71,100.0,135,July 2026,FlashReport_July_2026.pdf
1484,Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C,NHIDCL,618446,Sikkim,2020-10-01,2021-05-01,2024-05-01,2026-09-01,493.42,478.79,395.19,79.13,135,July 2026,FlashReport_July_2026.pdf
1485,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH- 717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,618447,Sikkim,2021-01-01,2021-02-01,2024-02-01,2027-05-01,410.6,379.3,241.77,82.64,135,July 2026,FlashReport_July_2026.pdf
1486,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,618448,Sikkim,2020-10-01,2020-12-01,2023-12-01,2027-05-01,816.79,786.6,474.96,64.31,135,July 2026,FlashReport_July_2026.pdf
1487,Construction & Upgradation of existing road to 2-lane with paved shoulder from km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B,NHIDCL,618449,Sikkim,2020-07-01,2020-10-01,2023-04-01,2026-09-01,230.45,244.91,249.71,86.19,135,July 2026,FlashReport_July_2026.pdf
1488,Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV,NHIDCL,618450,Sikkim,2020-07-01,2020-10-01,2022-05-01,2026-12-01,292.8,292.8,253.63,65.15,135,July 2026,FlashReport_July_2026.pdf
1489,"Construction of Bypass to Madurai Achambathu Viratipathu in between km 6/850 10/382 of NH 49 Extn New NH 85 including Land Acquisition on Engineering, Procurement & Construction EPC basis Contract under NH O Annual Plan 2021-22 in the state of Tamil Nadu job No.NH-49 Extn New NH 85 - TN-2021-22-997",MoRTH,617962,Tamil Nadu,2022-03-01,2024-09-01,2026-08-01,2026-08-01,238.97,260.07,126.56,94.0,135,July 2026,FlashReport_July_2026.pdf
1490,Bangalore Chennai Expressway Phase-III Package II Walajahpet to Arakkonam from Km 180.000 to Km 204.500,NHAI,618478,Tamil Nadu,2021-01-01,2022-07-01,2024-07-01,2026-08-01,1106.65,1106.65,593.0,93.04,135,July 2026,FlashReport_July_2026.pdf
1491,Bangalore Chennai Expressway Phase-III Package III Arakkonam to Kancheepuram from Km 204.500 to Km 230.000,NHAI,618479,Tamil Nadu,2020-12-01,2022-08-01,2024-07-01,2027-12-01,1525.1,1525.1,360.95,53.56,136,July 2026,FlashReport_July_2026.pdf
1492,Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,NHAI,618480,Tamil Nadu,2023-05-01,2024-02-01,2025-08-01,2026-10-01,162.55,162.56,54.98,38.52,136,July 2026,FlashReport_July_2026.pdf
1493,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section Phase-III/Package-IV,NHAI,618481,Tamil Nadu,2021-02-01,2022-07-01,2024-07-01,2026-10-01,3605.73,3605.73,987.38,89.97,136,July 2026,FlashReport_July_2026.pdf
1494,Karaipettai to Walajapet from Km 71.015 to 107.091,NHAI,618521,Tamil Nadu,2018-08-01,2019-02-01,2021-02-01,2026-08-01,766.51,766.51,613.76,93.55,136,July 2026,FlashReport_July_2026.pdf
1495,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 New NH- 48 from 37000 Existing Km 37000 to Km 71015 Existing Km 71000 in Tamilnadu on EPC mode underNHDP Phase-V,NHAI,618522,Tamil Nadu,2024-06-01,2025-01-01,2026-10-01,2027-03-01,411.16,411.16,134.65,38.26,136,July 2026,FlashReport_July_2026.pdf
1496,Improving the Alignment of Thoppur Ghat Section from Km 158.500 to Km 165.100 in Dharmapuri - Salem Section of NH-44,NHAI,618561,Tamil Nadu,2024-03-01,2025-03-01,2028-03-01,2028-03-01,904.99,731.09,211.34,47.84,136,July 2026,FlashReport_July_2026.pdf
1497,4L of Madurai Ring Road Phase 1 [Vadipatti-Thamrapatti] from km 0.00 - km 29.960,NHAI,618563,Tamil Nadu,2018-12-01,2020-03-01,2022-03-01,2026-08-01,900.05,900.05,903.57,99.42,136,July 2026,FlashReport_July_2026.pdf
1498,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,NHAI,618608,Tamil Nadu,2022-11-01,2023-08-01,2025-08-01,2026-12-01,1564.23,1263.42,980.14,81.85,136,July 2026,FlashReport_July_2026.pdf
1499,6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B Pkg- IV,NHAI,618635,Tamil Nadu,2021-02-01,2023-01-01,2025-01-01,2027-12-01,1359.81,1359.81,409.35,44.53,136,July 2026,FlashReport_July_2026.pdf
1500,4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744,NHAI,618744,Tamil Nadu,2022-03-01,2023-02-01,2025-02-01,2026-08-01,1076.97,791.6,685.52,95.95,136,July 2026,FlashReport_July_2026.pdf
1501,Melur - Pilayarpatti - Karaikudi from km 99.920 of NH 38 to km 12.9 of NH 383 Ext.,NHAI,618756,Tamil Nadu,2018-12-01,2020-03-01,2022-03-01,2026-08-01,1103.86,1085.41,956.44,98.12,136,July 2026,FlashReport_July_2026.pdf
1502,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package II from Km 4.604 to Km 9.700,NHAI,618800,Tamil Nadu,2023-03-01,2023-11-01,2026-05-01,2029-03-01,1616.97,1616.97,250.4,18.13,136,July 2026,FlashReport_July_2026.pdf
1503,Construction of New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from Km -0342 to Km 20223 Package 1 from Km - 0342 to Km 4604,NHAI,618801,Tamil Nadu,2023-03-01,2023-11-01,2026-05-01,2029-03-01,1388.59,1388.59,275.2,22.8,136,July 2026,FlashReport_July_2026.pdf
1504,Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800,NHAI,618846,Tamil Nadu,2018-03-01,2022-01-01,2024-01-01,2026-09-01,2565.63,2319.35,1210.2,99.8,136,July 2026,FlashReport_July_2026.pdf
1505,4L of Madathukulam - Pollachi from km. 74.38 to km. 116.95 of old NH-209 New NH- 83,NHAI,618894,Tamil Nadu,2019-01-01,2020-12-01,2022-12-01,2026-09-01,1772.13,1772.13,1062.67,97.65,136,July 2026,FlashReport_July_2026.pdf
1506,Kamalapuram to Oddanchatram from km. 0.00 to km. 35.822,NHAI,618895,Tamil Nadu,2019-01-01,2021-01-01,2023-01-01,2026-09-01,1319.42,1319.42,649.83,93.6,136,July 2026,FlashReport_July_2026.pdf
1507,Balance Works for Four laning of Vikravandi to Sethiyathope section from Km 0.0 to Km 65.96 of NH-45C in Tamil Nadu under NHDP Phase-IV on EPC mode,NHAI,618898,Tamil Nadu,2025-01-01,2025-06-01,2027-06-01,2027-06-01,1163.17,834.46,264.13,37.62,136,July 2026,FlashReport_July_2026.pdf
1508,Kallagam km.38.700 to Meensurutti Km.98.433 of NH-227 in Tamil Nadu,NHAI,618899,Tamil Nadu,2018-02-01,2019-04-01,2021-04-01,2026-08-01,1499.12,1499.12,1111.9,100.0,136,July 2026,FlashReport_July_2026.pdf
1509,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,NHAI,619045,Tamil Nadu,2023-03-01,2023-11-01,2026-05-01,2029-03-01,1205.4,1210.21,88.16,8.58,136,July 2026,FlashReport_July_2026.pdf
1510,6-laning of Krishnagiri Km.0.000 to Walajahpet Km.148.300 section on NH-46 under NHDP-V,NHAI,619074,Tamil Nadu,2009-12-01,2011-06-01,2013-12-01,2026-08-01,1673.17,781.74,707.81,99.99,137,July 2026,FlashReport_July_2026.pdf
1511,Chengapalli km 102.035 to Neelambur Km144.680 and Madukkarai Km 170.880 to Walayar K183.010 Package No. NS-2/BOT/TN-08,NHAI,619086,Tamil Nadu,2009-10-01,2010-09-01,2013-03-01,2026-10-01,1247.43,285.55,7.24,100.0,137,July 2026,FlashReport_July_2026.pdf
1512,Thorapalli - Agraharam - Jittandahalli Section from km 23.350 to km 60.100 [Hosur to Dhamrapuri Pkg-2],NHAI,619094,Tamil Nadu,2019-02-01,2021-12-01,2023-12-01,2026-12-01,1243.57,1272.11,827.88,77.57,137,July 2026,FlashReport_July_2026.pdf
1513,Mahabalipuram - Pondicherry Pkg-I [Mamallapuram to Mugaiyur],NHAI,619129,Tamil Nadu,2019-02-01,2022-05-01,2024-05-01,2027-01-01,1360.54,1477.94,904.84,58.65,137,July 2026,FlashReport_July_2026.pdf
1514,Mahabalipuram - Pondicherry Pkg-II [Mugaiyur to Marakkanam],NHAI,619130,Tamil Nadu,2019-02-01,2023-12-01,2025-12-01,2027-03-01,1116.13,1463.75,804.69,53.41,137,July 2026,FlashReport_July_2026.pdf
1515,Four Laning of Chettikulam to Natham section of NH-785,NHAI,619131,Tamil Nadu,2018-03-01,2018-11-01,2020-11-01,2026-06-01,837.61,823.93,641.93,99.75,137,July 2026,FlashReport_July_2026.pdf
1516,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package III from Km 9.700 to Km 14.185,NHAI,619139,Tamil Nadu,2023-03-01,2023-11-01,2026-05-01,2029-03-01,1299.36,1299.36,193.34,17.24,137,July 2026,FlashReport_July_2026.pdf
1517,4 Laning of Paramakudi to Ramanathapuram Section of NH-87 Old NH-49,NHAI,619156,Tamil Nadu,2025-07-01,2026-05-01,2028-05-01,2028-05-01,1853.16,1853.16,169.53,0.0,137,July 2026,FlashReport_July_2026.pdf
1518,Access Controlled Highway of 4 Lane with Paved Shoulders from Tiruvallur Design Chainage Km 1756 to TN/AP Broder Design Chainage Km 6151 of NH-716 Chennai- Tirupati Package-1,NHAI,619161,Tamil Nadu,2024-03-01,2024-12-01,2026-12-01,2027-03-01,1376.1,1247.7,181.78,46.31,137,July 2026,FlashReport_July_2026.pdf
1519,"Balance works of four lane from km 43.950 Thiruvallur Bypass to km 61.470 Veppampattu Bypass passing through Thannerkulam, Thozur and Sevapet Bypass 17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205",NHAI,619222,Tamil Nadu,2022-03-01,2022-09-01,2024-09-01,2026-08-01,467.99,699.68,595.08,97.92,137,July 2026,FlashReport_July_2026.pdf
1520,6-laning of km 9.900 to km 19/948 Aramgarh to Shamshabad Section of Hyderabad- Bangalore section of NH-44 Under NHO EPC basis in the state of Telangana,MoRTH,617913,Telangana,2018-01-01,2018-05-01,2020-05-01,2026-06-01,283.15,300.7,480.41,92.62,137,July 2026,FlashReport_July_2026.pdf
1521,Widening to two/four lane with paved shoulder from Km.180.600 to Km.223.000 of NH-63 on Nizamabad-Jagadalpur road on EPC mode under NHO in the state of Telangana.,MoRTH,617936,Telangana,2016-10-01,2017-03-01,2019-03-01,,253.99,183.26,0.0,100.0,137,July 2026,FlashReport_July_2026.pdf
1522,6-Laning of Pune-Hyderabad Section of NH-65 from Km 493/0 to Km 524/0 from Sangareddy X Roads to Madinaguda in the State of Telangana,MoRTH,617939,Telangana,2023-03-01,2024-07-01,2026-07-01,2026-08-01,1297.75,1297.75,0.0,45.85,137,July 2026,FlashReport_July_2026.pdf
1523,"Rehabilitation and Upgradation of LB-Nagar to Malkapur section to 6-Lane main carriageway with service roads, drains cum footpath, including VUPs and widening of Minor bridge & road safety provisions from Km. 15/00 to Km 40/00 of NH-65 Old NH-9 under NH O for the year 2020-21 in the state of Telangana on EPC Mode.",MoRTH,617940,Telangana,2021-03-01,2022-07-01,2024-07-01,2026-12-01,545.11,545.11,290.36,83.47,137,July 2026,FlashReport_July_2026.pdf
1524,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,617980,Telangana,2018-03-01,2018-07-01,2020-07-01,2027-12-01,626.76,626.76,24.4,54.26,137,July 2026,FlashReport_July_2026.pdf
1525,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,617983,Telangana,2021-03-01,2022-07-01,2024-07-01,2026-08-01,317.19,300.56,190.86,91.0,137,July 2026,FlashReport_July_2026.pdf
1526,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,617994,Telangana,2018-02-01,2018-06-01,2019-11-01,2025-12-01,294.13,257.61,249.23,88.22,137,July 2026,FlashReport_July_2026.pdf
1527,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617995,Telangana,2017-01-01,2017-05-01,2019-05-01,2026-12-01,300.0,300.0,175.12,99.2,138,July 2026,FlashReport_July_2026.pdf
1528,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",MoRTH,618001,Telangana,2018-05-01,2021-06-01,2023-06-01,2026-06-01,216.53,265.88,172.17,92.1,138,July 2026,FlashReport_July_2026.pdf
1529,Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode,MoRTH,618025,Telangana,2018-03-01,2018-06-01,2019-12-01,2026-09-01,192.67,192.67,141.82,96.0,138,July 2026,FlashReport_July_2026.pdf
1530,Widening to two lane with paved shoulders from Km 0/000 to Km 45/946 of Nizampet- Narayankhed-bidar section of NH-161B in the state of Telangana under Annual Plan 2021-22 on EPC mode under NHO,MoRTH,618091,Telangana,2022-03-01,2024-02-01,2026-02-01,2027-03-01,512.98,512.98,152.49,46.0,138,July 2026,FlashReport_July_2026.pdf
1531,Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual plan 2021-22 on EPC mode under NHO.,MoRTH,618104,Telangana,2022-03-01,2023-07-01,2025-07-01,2026-08-01,886.69,886.69,620.25,90.05,138,July 2026,FlashReport_July_2026.pdf
1532,Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar - Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of Telangana on EPC mode.,MoRTH,618105,Telangana,2022-03-01,2023-10-01,2025-10-01,2026-11-01,631.49,631.49,125.34,46.63,138,July 2026,FlashReport_July_2026.pdf
1533,Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS- 2021-22-75,MoRTH,618106,Telangana,2022-01-01,2026-05-01,2027-11-01,2026-03-01,703.68,703.68,304.65,90.69,138,July 2026,FlashReport_July_2026.pdf
1534,Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section of NH 353B in the State of Telangana,MoRTH,618130,Telangana,2022-10-01,2024-05-01,2026-05-01,2026-12-01,490.92,490.92,149.79,79.07,138,July 2026,FlashReport_July_2026.pdf
1535,Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH- 365A on Kodad-Khammam-Kurvi road.,MoRTH,618140,Telangana,2022-10-01,2025-02-01,2027-01-01,2027-01-01,445.76,445.76,18.32,13.33,138,July 2026,FlashReport_July_2026.pdf
1536,Widening and Improvement of existing carriage way to 2 lane with paved shoulders from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of Telangana on EPC Mode,MoRTH,618141,Telangana,2022-01-01,2022-12-01,2024-12-01,2026-12-01,423.48,423.48,184.83,77.85,138,July 2026,FlashReport_July_2026.pdf
